Domain,Class
100percentfedup.com,low
100percentfedup.com,high
10news.one,low
12minutos.com,low
12news.com,high
21stcenturywire.com,low
369news.net,low
38north.org,high
3ccorp.net,low
5stellenews.com,low
680news.com,high
70news.wordpress.com,low
79days.news,low
911Truth.org,low
9news.com,high
a.msn.com,high
aaas.org,high
aap.org,high
aapsonline.org,low
abc.net.au,high
abc7ny.com,high
abcbusinessnews.com,low
abcnews.com.co,low
abcnews.go.com,high
abovetopsecret.com,low
abruzzoweb.it,low
abs-cbn.com,high
accademiadellaliberta.blogspot.com,low
acpeds.org,low
acting-man.com,low
actionnews3.com,low
activistmommy.com,low
activistpost.com,low
adaa.org,high
adamscountytimes.com,low
addictinginfo.org,low
additudemag.com,high
adessobasta.org,low
adflegal.org,low
adnkronos.com,high
adweek.com,high
ae911truth.org,low
afa.net,low
affaritaliani.it,high
afp.com,high
ageofautism.com,low
agerpres.ro,high
agi.it,high
ahtribune.com,low
aifa.gov.it,high
aim4truth.org,low
aip.org,high
airforcetimes.com,high
airspacemag.com,high
ajaonline.org,high
ajph.aphapublications.org,high
ajuanews.com,low
albawaba.com,low
allenbwest.com,low
allenbwest.com,high
allenwestrepublic.com,low
allianceforadvancedhealth.com,low
allianceforscience.cornell.edu,high
allnewspipeline.com,low
almasdarnews.com,low
alphanewsmn.com,low
alternativenews.com,low
althealthworks.com,low
alt-market.com,low
altrarealta.blogspot.com,low
altright.com,low
ama-assn.org,high
america.cgtn.com,low
americadaily.com,low
americamaxnews.com,low
americanactionnews.com,low
americanconservativemedia.com,low
americandigitalnews.com,low
americanfreepress.net,low
americanjournalreview.com,low
americanlookout.com,low
americanmilitarynews.com,high
americannews.com,low
americannewsx.com,low
americanpatriotdaily.com,low
americanpeopledaily.com,low
americanprinciplesproject.org,low
americansarepissed.com,low
americanscientist.org,high
americansfortruth.com,low
americanthinker.com,low
americanthinker.com,high
americantoday.news,low
americantruthtoday.com,low
americasfreedomfighters.com,low
americasfrontlinedoctors.com,low
americasnewssource.com,low
americatalks.com,low
amityunderground.com,low
amplifyingglass.com,low
amren.com,low
amtvmedia.com,low
analyzingamerica.org,low
ancient-code.com,low
ancient-origins.net,low
anh-usa.org,low
anonews.co,low
anonhq.com,low
ansa.it,high
answersingenesis.org,low
antelopevalleytoday.com,low
apa.org,high
apnews.com,high
apost.com,low
aps.org,high
apsa.org,high
arabnews.com,low
archaeology.org,high
archaeology-world.com,low
asia-pacificresearch.com,low
assassinationscience.com,low
astronomy.com,high
auburntimes.com,low
aurorasito.wordpress.com,low
australiannationalreview.com,low
autisminvestigated.com,low
autismspeaks.org,low
autisticadvocacy.org,high
avoiceformen.com,low
avvenire.it,high
awm.com,low
backroombuzz.com,low
baldwintimes.com,low
ballotpedia.org,high
bannedinformation.com,low
barenakedislam.com,low
basnews.com,low
bb4sp.com,low
bbc.co.uk,high
bbc.com,high
bbc.in,high
bdnews24.com,low
beforeitsnews.com,low
bentontimes.com,low
bestdailynews.info,low
bigamericannews.com,low
bigleaguepolitics.com,low
billionbibles.org,low
bio.org,high
biomedcentral.com,high
bipartisanreport.com,low
bipartisanreport.com,high
bitchute.com,low
bizpacreview.com,high
bjreview.com,low
blackeyepolitics.com,low
blackgenocide.org,low
blacknews.com,low
blackpigeonspeaks.com,low
blingnews.com,low
bloomberg.com,high
bluedotdaily.com,low
bluenationreview.com,low
bluenationreview.com,high
bluntforcetruth.com,low
bmj.com,high
bnonews.com,high
bongino.com,low
bossip.com,low
breaking911.com,low
breakingchristiannews.com,low
breakingfirst.com,low
breakingnews247.net,low
breakingnewshouse.com,low
breakingwide.com,low
breaknotizie.com,low
breitbart.com,low
breitbart.com,high
bridgemi.com,high
bridgeporttimes.com,low
britainfirst.org,low
britannica.com,high
burrardstreetjournal.com,low
businessinsider.com,high
buzzfeed.com,high
byoblu.com,low
cair.com,low
caixinglobal.com,low
caldronpool.com,low
callthecops.net,low
canadafreepress.com,low
cap-news.com,low
catenaumana.it,low
cbc.ca,high
cbsnews.com,high
cdc.gov,high
cdt.ch,high
cei.org,low
centennialstatenews.com,low
centerforsecuritypolicy.org,low
centralcoloradonews.com,low
centraloctimes.com,low
cernovich.com,low
channel-7-news.com,low
checkpointasia.net,low
chicotimes.com,low
chinadaily.com.cn,low
christianaction.org,low
christiantimes.com,low
christwire.org,low
chronicle.su,low
churchmilitant.com,low
cicap.org,high
civictribune.com,low
clarionproject.org,low
clashdaily.com,low
clickhole.com,low
climateactiontracker.org,high
climatecentral.org,high
climatefeedback.org,high
climatesciencewatch.org,high
cloverchronicle.com,low
cnb.cx,high
cnet.com,high
cnn.com,high
coachellatoday.com,low
coasttocoastam.com,low
cochrane.org,high
coconinonews.com,low
coelum.com,high
collective-evolution.com,low
comedonchisciotte.org,low
compressamente.blogspot.com,low
concernedwomen.org,low
conoscenzealconfine.it,low
consciouslifenews.com,low
conservapedia.com,low
conservativeammo.com,low
conservativebeaver.com,low
conservativebuzz.com,low
conservativebyte.com,low
conservativedailynews.com,low
conservativedailypost.com,low
conservativefiringline.com,low
conservativefreepress.com,low
conservativematrix.com,low
conservativemedia.com,low
conservativeoutfitters.com,low
conservativepost.com,low
conservativereview.com,high
conservativetoday.org,low
conservativetribune.com,low
constitutionstatenews.com,low
consumerlab.com,high
corriere.it,high
corrieredelcorsaro.it,low
corvelva.it,low
cosmosmagazine.com,high
countdowntozerotime.com,low
counterpsyops.com,low
crainsdetroit.com,high
creambmp.com,low
crooksandliars.com,high
csmonitor.com,high
c-span.org,high
ctvnews.ca,high
dailybuzzlive.com,low
dailycaller.com,high
dailycurrant.com,low
dailyheadlines.net,low
dailykos.com,high
dailymail.co.uk,high
dailynewsbin.com,low
dailynewsbin.com,high
dailypoliticalnewswire.com,low
dailyrecord.com,high
daily-screen.com,low
dailystar.co.uk,low
dailystormer.com,low
dailystormer.name,low
dailywire.com,high
dcalert.com,low
dcbluedot.com,low
dcclothesline.com,low
dcdirtylaundry.com,low
dcgazette.com,low
debka.com,low
decaturtimes.com,low
deepleftfield.info,low
defendevropa.org,low
defiantamerica.com,low
democrats.org,low
demyx.com,low
denvercitywire.com,low
denverguardian.com,low
departed.co,low
deplorablekel.com,low
derfmagazine.com,low
dianalanciotti.it,low
direttanews24.com,low
disabilityscoop.com,high
disclose.tv,low
discovermagazine.com,high
discoverthenetworks.org,low
disinformazione.it,low
djhjmedia.com,low
dnyuz.com,low
downtrend.com,low
drugs.com,high
duffelblog.com,low
duhprogressive.com,low
eaglerising.com,low
eagletribune.com,high
earthobservatory.nasa.gov,high
earthsky.org,high
eastalamedanews.com,low
eastarapahoenews.com,low
eastarizonanews.com,low
eastcontracostanews.com,low
eastlittlerocktimes.com,low
eastsandiegonews.com,low
eastsbvtimes.com,low
eastsfvtoday.com,low
eastsierranews.com,low
eastventuranews.com,low
ecalabamanews.com,low
ecplanet.org,low
edge.org,high
effervescienza.org,low
elizabethjohnston.org,low
emirates247.com,low
empireherald.com,low
empirenews.net,low
empiresports.co,low
en.bbarta24.net,low
en.mediamass.net,low
endingthefed.com,low
endingthefed.com,high
endthefed.org,low
endtimeheadlines.org,low
enduringvision.com,low
english.alarabiya.net,low
english.almanar.com.lb,low
english.cctv.com,low
essere-informati.it,low
eurekalert.org,high
eutimes.net,low
everydayhealth.com,high
everylegalvote.com,low
everytownresearch.org,low
evil.news,low
examine.com,high
explainlife.com,low
exposinggovernment.com,low
facebook.com/conservativepoliticstoday,low
factcheck.org,high
factcheckingturkey.com,low
fanpage.it,high
fas.org,high
fellowshipoftheminds.com,low
filosofiaelogos.it,low
fivethirtyeight.com,high
flyheight.com,low
forbes.com,high
foreignpolicy.com,high
fortune.com,high
fourstateshomepage.com,high
foxnews.com,high
fprnradio.com,low
freebeacon.com,high
freeondarevolution.wordpress.com,low
freewoodpost.com,low
frontiersin.org,high
frontpagemag.com,low
ft.com,high
fury.news,low
futurism.com,high
galileonet.it,high
genengnews.com,high
geneticliteracyproject.org,high
geoengineeringwatch.org,low
getoffthebs.com,low
globalassociatednews.com,low
globalresearch.ca,low
gomerblog.com,low
gopthedailydose.com,low
gotnews.com,low
govtslaves.info,low
gravitzero.com,high
gulagbound.com,low
hackthematrix.it,low
hangthebankers.com,low
hannity.com,high
healio.com,high
healthaffairs.org,high
healthdata.org,high
healthfeedback.org,high
healthline.com,high
hollywoodreporter.com,high
home.infn.it,high
hopkinsmedicine.org,high
hotair.com,high
huffingtonpost.com,high
huffingtonpost.it,high
humansarefree.com,low
huzlers.com,low
ibtimes.com,high
ieee.org,high
ifyouonlynews.com,low
ijr.com,high
ilfattoquotidaino.it,low
ilfattoquotidiano.it,high
ilfoglio.it,high
ilgazzettino.it,high
il-giornale.info,low
ilgiornale.it,high
ilmattino.it,high
ilmessaggero.it,high
ilmessangero.it,low
ilovemyfreedom.org,high
ilpost.it,high
ilprimatonazionale.it,low
ilpuntosulmistero.it,low
il-quotidiano.info,low
ilsapereepotere2.blogspot.com,low
ilsole24ore.com,high
iltempo.it,high
ilvostropensiero.it,low
imolaoggi.it,low
independent.co.uk,high
infn.it,high
informarexresistere.fr,low
informazione.it,high
informazionelibera.eu,low
infowars.com,low
insidescience.org,high
intellihub.com,low
interagisco.net,low
investors.com,high
iop.org,high
irena.org,high
ispp.org/news/journal,high
issues.org,high
it.sputniknews.com,low
itaglive.com,low
italianosveglia.com,low
jedanews.it,low
jonesreport.com,low
jookos.com,low
journals.sagepub.com,high
jp.reuters.com,high
jstor.org,high
judicialwatch.org,low
judicialwatch.org,high
la7.it,high
lanuovabq.it,low
laseroffice.it,low
lastampa.it,high
latimes.com,high
latitudes.org,low
laverita.info,low
laveritadininconaco.altervista.org,low
lavocedelpatriota.it,low
leganerd.com,high
leggo.it,high
lercio.it,low
lescienze.it,high
lettera43.it,high
lettoquotidiano.it,low
lewrockwell.com,low
liberalamerica.org,low
liberamenteservo.com,low
liberascienza.it,high
liberoquotidiano.it,low
libertymovementradio.com,low
libertytalk.fm,low
libertyvideos.org,low
libreidee.org,low
lifezette.com,high
lightlybraisedturnip.com,low
linkiesta.it,high
livescience.com,high
lonesto.it,low
louderwithcrowder.com,low
madreterra.myblog.it,low
mag24.es,low
mashable.com,high
maurizioblondet.it,low
mayoclinic.org,high
mediaite.com,high
mediamatters.org,high
medicaldaily.com,high
medicalnewstoday.com,high
medicalxpress.com,high
medicisenzafrontiere.it,high
medpagetoday.com,high
medscape.com,high
mentaldaily.com,high
mondodiannunci.com,low
money.it,high
mosaicscience.com,high
motherjones.com,high
msn.com,high
msnbc.com,high
myfreshnews.com,low
nanopress.it,high
nasa.gov,high
nationalacademyofsciences.org,high
nationalgeographic.com,high
nationalreport.net,low
nationalreview.com,high
naturalnews.com,low
nature.com,high
nautil.us,high
nbcnews.com,high
nbcnews.to,high
ncdc.noaa.gov,high
ncscooper.com,low
nejm.org,high
neovitruvian.wordpress.com,low
neurosciencenews.com,high
newatlas.com,high
newhumanist.org.uk,high
news.sky.com,high
news.yahoo.co,high
news.yahoo.com,high
newsbiscuit.com,low
newsbusters.org,high
newscientist.com,high
newslo.com,low
newsmax.com,high
newsmutiny.com,low
newsninja2012.com,high
newsrescue.com,low
newsweek.com,high
newswire-24.com,low
newyorker.com,high
nextbigfuture.com,high
nextobserver.com,high
nibiru2012.it,low
nicolaporro.it,low
nih.gov,high
noaa.gov,high
nodisinfo.com,low
noidiminerva.it,high
notiziarioromacapitale.blogspot.com,low
notiziedi.it,high
novanews24.altervista.org,low
now8news.com,low
nowtheendbegins.com,low
npr.org,high
numero6.org,low
nutra-lifestyle.com,low
nydailynews.com,high
nymag.com,high
nypost.com,high
nyti.ms,high
nytimes.com,high
observatorial.com,low
observer.com,high
occupydemocrats.com,low
occupydemocrats.com,high
oceana.org,high
oggiscienza.it,high
olivieromannucci.blogspot.com,low
onlinelibrary.wiley.com/journal/10.1111/(ISSN)1467-9221,high
open.online,high
opiniapublica.info,low
other98.com,low
paho.org,high
pakalertpress.com,low
pandoratv.it,low
people.com,high
phys.org,high
pianetax.wordpress.com,low
pinomerola.com,low
pjmedia.com,high
playhitmusic.it,low
plos.org,high
pnas.org,high
politicalblindspot.com,low
politicalears.com,low
politico.com,high
politicops.com,low
politicususa.com,low
politicususa.com,high
politifact.com,high
popsci.com,high
popularmechanics.com,high
powderedwigsociety.com,low
precisionvaccinations.com,high
prisonplanet.com,low
proudcons.com,low
psychcentral.com,high
psychologytoday.com,high
psypost.org,high
public.wmo.int,high
pubmed.ncbi.nlm.nih.gov,high
quackwatch.org,high
quantamagazine.org,high
queryonline.it,high
quotidiano.net,high
quotidianopiemontese.it,high
radioradio.it,low
rai.it,high
rainews.it,high
rassegneitalia.info,low
rawstory.com,high
react365.com,low
realclearpolitics.com,high
realclearscience.com,high
realclimate.org,high
realfarmacy.com,low
realmofhistory.com,high
realnewsrightnow.com,low
redflagnews.com,low
redstate.com,low
redstate.com,high
religiousmind.com,low
renovatio21.com,low
repubblica.it,high
researchantisemitism.ca,low
researchgate.net,high
resourcewatch.org,high
retractionwatch.com,high
reut.rs,high
reuters.com,high
rickwells.us,low
rightsidenews.com,low
rilenews.com,low
rockcitytimes.com,low
rt.com,high
salernonotizie.it,low
salon.com,high
saper-link-news.com,low
satiratribune.com,low
scenarieconomici.it,low
scetticamente.it,high
scicentral.com,high
science.energy.gov,high
sciencealert.com,high
sciencebasedmedicine.org,high
scienceblogs.com,high
sciencedaily.com,high
sciencedirect.com,high
sciencefeedback.co,high
sciencehistory.org,high
scienceillustrated.com.au,high
sciencemag.org,high
sciencemediacentre.org,high
sciencenews.org,high
sciencetrends.com,high
scientificamerican.com,high
scientificast.it,high
scienzainrete.it,high
scienze-naturali.it,high
scripps.ucsd.edu/news,high
secondamendmentdaily.com,low
seeker.com,high
shareblue.com,high
shariaunveiled.wordpress.com,low
siamonapoletani.org,low
silenziefalsita.it,low
singularityhub.com,high
sites.agu.org,high
skepdic.com,high
skeptic.com,high
skepticalinquirer.org,high
skepticalraptor.com,high
skepticalscience.com,high
skeptics.com.au,high
skeptoid.com,high
skyandtelescope.org,high
skynew.it,low
skytg24news.it,low
slate.com,high
smithsonianmag.com,high
societyforscience.org,high
sostenitori.info,low
sourceplanet.net,low
space.com,high
startmag.it,high
stateofthenation2012.com,low
stopcensura.online,low
stuppid.com,low
superquark.rai.it,high
superstation95.com,low
tacticalinvestor.com,low
talkingpointsmemo.com,high
tankerenemy.com,low
teaparty.org,low
technologyreview.com,high
techxplore.com,high
telegraph.co.uk,high
terrarealtime.blogspot.com,low
tfp.org,low
tg24.sky.it,high
tg24-ore.com,low
tgcom24.mediaset.it,high
theamericanmirror.com,high
theatlantic.com,high
theblaze.com,low
theblaze.com,high
thebostontribune.com,low
theconservativetreehouse.com,high
thedailybeast.com,high
thedailysheeple.com,low
thedcgazette.com,low
theeventchronicle.com,low
thefederalist.com,high
thefederalistpapers.org,low
thefreepatriot.org,low
thefreethoughtproject.com,low
thegatewaypundit.com,low
theguardian.com,high
thehill.com,high
theintercept.com,high
thelancet.com,high
thelapine.ca,low
thelastamericanvagabond.com,low
thenation.com,high
theness.com,high
thenewsclub.info,low
thenewsnerd.com,low
theonion.com,low
thepoliticalinsider.com,low
theracketreport.com,low
therealstrategy.com,low
therightscoop.com,low
therundownlive.com,low
the-scientist.com,high
thespoof.com,low
thetruthdivision.com,low
theuspatriot.com,low
thinkprogress.org,high
tigulliomagazine.wordpress.com,low
time.com,high
tio.ch,high
tmcrew.org,low
today.it,high
townhall.com,high
trueactivist.com,low
truepundit.com,high
trunews.com,low
truthfeed.com,low
truthfrequencyradio.com,low
truthuncensored.net,low
tuttiicriminidegliimmigrati.com,low
twitchy.com,low
unconfirmedsources.com,low
understandrealitythroughscience.blogspot.com,high
unionesarda.it,high
universetoday.com,high
ununiverso.it,low
us24news.com,low
usapoliticsnow.com,low
usasupreme.com,low
usatoday.com,high
usuncut.com,low
usuncut.com,high
va.newsrepublic.net,low
vaxopedia.org,high
verascienza.com,high
verywell.com,high
veteranstoday.com,low
viralliberty.com,low
viralmagazine.it,low
vox.com,high
voxnews.info,low
wakingupwisconsin.com,low
wapo.st,high
washingtonexaminer.com,high
washingtonpost.com,high
washingtontimes.com,high
watchers.news,high
wearechange.org,low
weaselzippers.us,high
web.randi.org,high
webmd.com,high
webtg24.com,low
weeklystandard.com,high
weeklyworldnews.com,low
westernjournal.com/ct,low
westernjournalism.com,high
westernsentinel.com,low
whatdoesitmean.com,low
who.int,high
wideawakeamerica.com,low
winningdemocrats.com,low
wired.it,high
witscience.org,low
wnd.com,low
wnd.com,high
worldnewsdailyreport.com,low
worldometers.info,high
worldtruth.tv,low
wsj.com,high
yournewswire.com,low
zapping2017.myblog.it,low
zazoom.it,low
zerohedge.com,low
ziare.com,low
zmescience.com,high
petitions.whitehouse.gov,low
"NaturalNews.com,",low
heritage.org,high
tampabay.com,high
unherd.com,low
AskDrButtar.com,low
wsws.org,high
n5ti.com,low
theepochtimes.com,low
covipass.com,high
fort-russ.com,low
fiercepharma.com,high
tenthamendmentcenter.com,low
vigiliae.org,low
sun-sentinel.com,low
clinicaltrials.gov,high
"Reason.com,",low
childrenshealthdefense.org,low
"AdvancedMedicineConference.com,",low
aol.com,high
trendingpolitics.com,low
charityauctionstoday.com,low
